danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,retro
0.56,0.872,3,-4.269,0.14,0.0239,6.98e-06,0.371,0.682,126.05,4,False
0.558,0.781,1,-5.448,0.0963,0.00657,0.00144,0.102,0.286,126.025,4,False
0.576,0.835,2,-6.826,0.0486,0.337,0,0.082,0.476,150.017,4,False
0.651,0.695,6,-3.218,0.0487,0.23,0,0.144,0.569,123.008,4,False
0.629,0.515,0,-10.358,0.265,0.0267,1.22e-05,0.0888,0.299,121.845,4,False
0.711,0.7,1,-4.805,0.046,0.00498,0.000125,0.215,0.801,128.001,4,False
0.612,0.807,10,-2.81,0.0336,0.0495,0.0177,0.101,0.398,124.053,4,False
0.672,0.738,0,-7.045,0.0506,0.0178,6.75e-05,0.0927,0.392,107.938,4,False
0.728,0.858,9,-3.686,0.0609,0.0403,4.09e-06,0.0241,0.591,125.055,4,False
0.656,0.884,2,-4.748,0.0372,0.0162,0,0.144,0.86,105.009,4,False
0.514,0.683,5,-5.099,0.0367,0.0749,2.64e-06,0.392,0.575,159.814,4,False
0.716,0.838,10,-4.289,0.0513,0.134,0,0.148,0.646,130.034,4,False
0.603,0.831,11,-3.443,0.0479,0.027,0,0.652,0.358,72.022,4,False
0.706,0.89,1,-4.444,0.0688,0.0588,0.00286,0.306,0.684,128.011,4,False
0.503,0.727,1,-5.456,0.167,0.0159,9.45e-05,0.0895,0.521,121.985,4,False
0.797,0.867,11,-5.242,0.0696,0.0158,2.79e-06,0.0868,0.716,127.974,4,False
0.584,0.889,1,-5.941,0.0343,0.0462,0.828,0.309,0.464,126.04,4,False
0.727,0.937,11,-2.871,0.286,0.00417,0,0.091,0.749,132.067,4,False
0.707,0.924,7,-2.842,0.031,0.000972,0.00703,0.204,0.919,127.937,4,False
0.631,0.924,0,-5.589,0.146,0.0841,3.59e-06,0.084,0.755,100.045,4,False
0.707,0.861,7,-4.225,0.316,0.1,0,0.191,0.795,130.021,4,False
0.718,0.776,7,-5.208,0.0693,0.000624,5.3e-06,0.207,0.622,120.015,4,False
0.608,0.614,2,-3.727,0.0285,0.227,4.06e-06,0.157,0.402,127.884,4,False
0.707,0.222,7,-11.716,0.0329,0.788,0,0.205,0.556,110.095,4,False
0.594,0.841,1,-5.792,0.102,0.000238,2.22e-06,0.156,0.643,129.925,4,False
0.682,0.471,0,-9.182,0.0301,0.765,0,0.0908,0.421,79.907,4,False
0.564,0.71,11,-4.92,0.0461,0.00125,0,0.109,0.393,91.972,4,False
0.863,0.527,0,-6.896,0.0358,0.607,0.000168,0.107,0.674,129.054,4,False
0.616,0.862,7,-5.18,0.0973,0.00117,0,0.179,0.569,127.992,4,False
0.719,0.889,7,-4.088,0.127,0.00722,0,0.0731,0.562,97.987,4,False
0.66,0.9,7,-5.02,0.14,0.0403,0,0.219,0.591,85.51,4,False
0.71,0.882,4,-2.932,0.0595,0.00777,0.00771,0.294,0.875,128.016,4,False
0.561,0.522,2,-5.857,0.0318,0.227,0,0.104,0.238,83.962,4,False
0.606,0.826,0,-6.04,0.0307,0.0256,1.56e-05,0.117,0.322,121.04,4,False
0.721,0.339,0,-11.195,0.0532,0.409,0.00153,0.0973,0.2,129.83,4,False
0.585,0.303,4,-10.058,0.0398,0.694,0,0.115,0.142,136.703,3,False
0.621,0.31,9,-10.164,0.0283,0.945,6.12e-05,0.117,0.125,111.893,4,False
0.758,0.557,7,-4.568,0.034,0.0117,0,0.0418,0.781,126.986,4,False
0.658,0.677,5,-6.628,0.0393,0.248,0,0.368,0.248,124.91,4,False
0.596,0.952,7,-4.364,0.0873,0.00131,0,0.598,0.571,127.945,4,False
